Code Domaine,Domaine,Code zone (M49),Zone,Code de devise ISO (FAO),Devise,Code Élément,Élément,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PE","Taux de change","170","Colombie","COP","Colombian Peso","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","2951.327402","X","Ciffre de sources internationales"
"PE","Taux de change","174","Comores","KMF","Comoro Franc","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","435.492562190889","X","Ciffre de sources internationales"
"PE","Taux de change","174","Comores","KMF","Comoro Franc","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","435.4925622","X","Ciffre de sources internationales"
"PE","Taux de change","178","Congo","XAF","CFA Franc BEAC","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","580.656749587858","X","Ciffre de sources internationales"
"PE","Taux de change","178","Congo","XAF","CFA Franc BEAC","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","580.6567496","X","Ciffre de sources internationales"
"PE","Taux de change","188","Costa Rica","CRC","Costa Rican Colon","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","567.51309030978","X","Ciffre de sources internationales"
"PE","Taux de change","188","Costa Rica","CRC","Costa Rican Colon","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","567.5130903","X","Ciffre de sources internationales"
"PE","Taux de change","384","Côte d'Ivoire","XOF","CFA Franc BCEAO","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","580.656749587858","X","Ciffre de sources internationales"
"PE","Taux de change","384","Côte d'Ivoire","XOF","CFA Franc BCEAO","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","580.6567496","X","Ciffre de sources internationales"
"PE","Taux de change","191","Croatie","HRK","Kuna","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","6.623831","X","Ciffre de sources internationales"
