Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"EK","Tendances dans l’élevage","124","Canada","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","9.91","E","Valeur estimée"
"EK","Tendances dans l’élevage","124","Canada","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","1702030","E","Valeur estimée"
"EK","Tendances dans l’élevage","152","Chili","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.07","E","Valeur estimée"
"EK","Tendances dans l’élevage","152","Chili","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","26.15","E","Valeur estimée"
"EK","Tendances dans l’élevage","152","Chili","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","1099730","E","Valeur estimée"
"EK","Tendances dans l’élevage","159","Chine","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.1","E","Valeur estimée"
"EK","Tendances dans l’élevage","159","Chine","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","20.03","E","Valeur estimée"
"EK","Tendances dans l’élevage","159","Chine","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","51397490","E","Valeur estimée"
"EK","Tendances dans l’élevage","344","Chine - RAS de Hong-Kong","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","2.55","E","Valeur estimée"
"EK","Tendances dans l’élevage","344","Chine - RAS de Hong-Kong","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","23.5","E","Valeur estimée"
"EK","Tendances dans l’élevage","344","Chine - RAS de Hong-Kong","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","13000","E","Valeur estimée"
"EK","Tendances dans l’élevage","446","Chine - RAS de Macao","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","100","E","Valeur estimée"
"EK","Tendances dans l’élevage","446","Chine - RAS de Macao","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","7450","E","Valeur estimée"
"EK","Tendances dans l’élevage","156","Chine, continentale","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.1","E","Valeur estimée"
"EK","Tendances dans l’élevage","156","Chine, continentale","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","19.84","E","Valeur estimée"
"EK","Tendances dans l’élevage","156","Chine, continentale","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","50430570","E","Valeur estimée"
"EK","Tendances dans l’élevage","158","Chine, Taiwan Province de","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","1.19","E","Valeur estimée"
"EK","Tendances dans l’élevage","158","Chine, Taiwan Province de","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","39.15","E","Valeur estimée"
"EK","Tendances dans l’élevage","158","Chine, Taiwan Province de","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","946470","E","Valeur estimée"
"EK","Tendances dans l’élevage","196","Chypre","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.21","E","Valeur estimée"
"EK","Tendances dans l’élevage","196","Chypre","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","12.26","E","Valeur estimée"
"EK","Tendances dans l’élevage","196","Chypre","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","24950","E","Valeur estimée"
"EK","Tendances dans l’élevage","170","Colombie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.03","E","Valeur estimée"
"EK","Tendances dans l’élevage","170","Colombie","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","7.78","E","Valeur estimée"
"EK","Tendances dans l’élevage","170","Colombie","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","1638300","E","Valeur estimée"
"EK","Tendances dans l’élevage","174","Comores","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.04","E","Valeur estimée"
"EK","Tendances dans l’élevage","174","Comores","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","11.48","E","Valeur estimée"
"EK","Tendances dans l’élevage","174","Comores","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","5410","E","Valeur estimée"
"EK","Tendances dans l’élevage","178","Congo","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0","E","Valeur estimée"
"EK","Tendances dans l’élevage","178","Congo","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","11.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","178","Congo","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","29690","E","Valeur estimée"
"EK","Tendances dans l’élevage","188","Costa Rica","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.14","E","Valeur estimée"
"EK","Tendances dans l’élevage","188","Costa Rica","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","16.78","E","Valeur estimée"
"EK","Tendances dans l’élevage","188","Costa Rica","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","243830","E","Valeur estimée"
"EK","Tendances dans l’élevage","384","Côte d'Ivoire","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.03","E","Valeur estimée"
"EK","Tendances dans l’élevage","384","Côte d'Ivoire","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","34.95","E","Valeur estimée"
"EK","Tendances dans l’élevage","384","Côte d'Ivoire","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","726970","E","Valeur estimée"
"EK","Tendances dans l’élevage","191","Croatie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.07","E","Valeur estimée"
"EK","Tendances dans l’élevage","191","Croatie","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","13.35","E","Valeur estimée"
"EK","Tendances dans l’élevage","191","Croatie","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","98400","E","Valeur estimée"
"EK","Tendances dans l’élevage","192","Cuba","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.04","E","Valeur estimée"
