Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TI","Indices commerciaux","040","Autriche","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","184915","E","Valeur estimée"
"TI","Indices commerciaux","040","Autriche","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","189795","E","Valeur estimée"
"TI","Indices commerciaux","031","Azerbaïdjan","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","18606","E","Valeur estimée"
"TI","Indices commerciaux","031","Azerbaïdjan","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","27166","E","Valeur estimée"
"TI","Indices commerciaux","031","Azerbaïdjan","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","235","E","Valeur estimée"
"TI","Indices commerciaux","031","Azerbaïdjan","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","69","E","Valeur estimée"
"TI","Indices commerciaux","044","Bahamas","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","27206","E","Valeur estimée"
"TI","Indices commerciaux","044","Bahamas","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","66187","E","Valeur estimée"
"TI","Indices commerciaux","048","Bahreïn","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","98083","E","Valeur estimée"
"TI","Indices commerciaux","048","Bahreïn","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","110312","E","Valeur estimée"
"TI","Indices commerciaux","048","Bahreïn","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","714","E","Valeur estimée"
